tic_id,period_days,duration_days,duration_hours,depth_ppm,snr,bls_power,tls_snr,tls_sde,tls_fap,tls_rp_rs,tls_odd_even,both_agree,transit_depth_measured,flux_in_scatter,flux_out_scatter,in_out_scatter_ratio,transit_skewness,transit_kurtosis,odd_depth,even_depth,odd_even_diff,secondary_depth,flux_mean,flux_std,flux_range,outlier_frac,depth_over_std,period_over_dur,n_transit_points,n_transits,coverage_days,acf_period,acf_strength,acf_period_match,ls_period,ls_power,ls_fap,ls_period_match,cdpp_1h,cdpp_2h,cdpp_6h,bls_snr_raw,tls_snr_raw,bls_snr_norm,tls_snr_norm
14091633,5.533104467540492,0.0324929714776273,0.7798313154630552,996198.6177978546,1.6869642571893742,0.000847688619004,1.6869642571893742,23.80440390039368,8.0032e-05,0.998097499144174,0.5992611274629721,1,0.003776974131785238,0.0030316156892676986,0.0007803638962512506,3.884873858649447,-0.16889955942310803,-0.7106027294785373,0.002881799024986198,0.0043930448359924545,0.0015112458110062565,6.33835396499638e-05,0.9999948334687417,0.0008182455315234485,0.014091495306123636,0.006593150125444892,1217.4811320936535,170.2861941796131,17139,4,25.775070916008872,0.0,0.0,0,0.7910662003396275,0.0054826061881105325,1.0794464256818114e-15,0,818.2455315234486,818.2455315234486,818.2455315234486,31.125498742708363,31.125498742708363,1.6869642571893742,1.6869642571893742
143271144,1.3525054454999688,0.0488524300412474,1.1724583209899375,988463.992404145,-0.6118837124871612,0.0297965135515746,-0.6118837124871612,14.022668093271898,8.0032e-05,0.9942152646203662,0.1441772178515322,1,0.00930113881554373,0.027935907219912865,0.028328089112717083,0.986155720216097,-0.05031630982633585,0.00960379190138605,0.008845074016452056,0.009603855079329688,0.000758781062877632,5.326640842273633e-05,0.9997799088688281,0.028374859084020747,0.21420779153415737,0.003086843188366031,34.835908294508705,27.685530516894648,14578,16,21.772124516279973,0.0,0.0,0,0.5629540798109121,7.791568308280973e-05,1.0,0,28374.859084020747,28374.859084020747,28374.859084020747,7.948646574464784,7.948646574464784,-0.6118837124871612,-0.6118837124871612
144276942,1.5345541378351495,0.0250976200340178,0.6023428808164272,997776.191991386,-0.4523562696273988,0.0005458287971611,-0.4523562696273988,19.584374348810137,8.0032e-05,0.9988874771421384,0.0478538371590643,1,0.0018192080472180239,0.0037429094642345275,0.003341389963627074,1.120165378169469,-0.099051275572332,-0.44692762696436894,0.0018832337883417833,0.002188322779313737,0.0003050889909719538,0.0,0.9999884338337237,0.003359086728825245,0.02537359097087466,0.0032201610080504024,297.0379281146278,61.14341238893743,14285,15,23.226788346491503,0.0,0.0,0,0.5140185202556451,0.00022091157222442104,1.0,0,3359.086728825245,3359.086728825245,3359.086728825245,9.556993019601338,9.556993019601338,-0.4523562696273988,-0.4523562696273988
144327080,4.419862508659172,0.0283483795807058,0.6803611099369392,998794.6290952,-0.9459818199065078,0.0001811150037579,-0.9459818199065078,4.806686596730488,1.0,0.9993971328231837,1.823489373557087,0,0.0010193562295147673,0.002601147052430765,0.0022766527749150537,1.1425312488746526,-0.7197327260335296,0.8299490836030339,0.0004817397944991697,0.0028115573589138076,0.002329817564414638,0.000197655220702031,1.0000078874144418,0.002280735662301406,0.018370992174149725,0.002418551714326362,437.92649968681746,155.9123504920239,14058,5,23.790720447509557,0.0,0.0,0,0.5855448682543822,8.816648972962657e-05,1.0,0,2280.7356623014057,2280.7356623014057,2280.7356623014057,4.5802887937466,4.5802887937466,-0.9459818199065078,-0.9459818199065078
151681127,10.16817523352685,0.0580178106038721,1.3924274544929305,999348.0132385392,-0.9360319576849704,3.080360743844812e-05,-0.9360319576849704,12.171022543648048,8.0032e-05,0.9996739534660984,5.939347508495154,1,0.00046300834107504407,0.0011154503757060702,0.0006980866531067631,1.5978678448514791,-0.24212735305170924,0.02701001404170933,0.0,0.0,0.0,0.0,1.0000109638489743,0.0006994275357798227,0.006269008577331925,0.004870858168300967,1428.8083028408248,175.25954720053278,15603,2,24.156039625176845,0.0,0.0,0,0.5384982642538361,0.000281835268677712,1.0,0,699.4275357798227,699.4275357798227,699.4275357798227,4.680602728745708,4.680602728745708,-0.9360319576849704,-0.9360319576849704
153077621,2.9591628259774736,0.0507200455072964,1.2172810921751136,999481.027453066,-0.9488752117168753,3.662724436865182e-05,-0.9488752117168753,4.3894314016132565,1.0,0.9997404800512312,0.9019479611545124,0,0.0002924150415909432,0.0015199500562314068,0.0015423516536418392,0.9854756236004291,-0.15783722116195129,-0.5990266049515713,3.904525004886731e-05,0.000590912815561756,0.0005518675655128887,0.00015540041886497047,0.9999936037433483,0.0015431023255812627,0.011769399337923203,0.003989067001551304,647.7088046028941,58.34306319219436,13537,6,20.2780490838652,0.0,0.0,0,0.5125916584615086,0.00010241490787448053,1.0,0,1543.1023255812627,1543.1023255812627,1543.1023255812627,4.551117784989928,4.551117784989928,-0.9488752117168753,-0.9488752117168753
207425203,1.2245964231549198,0.0399913378451156,0.9597921082827743,998818.653808258,-0.613923588461796,0.0003531307964729,-0.613923588461796,14.442852408151738,8.0032e-05,0.9994091523536583,0.5870399326232256,1,0.001117478115472137,0.0028459738753954583,0.0029046863504405603,0.9797869491090176,0.0185114873001388,0.3595480729595639,0.0011791709562172237,0.001007360034108687,0.00017181092210853677,0.0,1.0000132291408774,0.002908874999882111,0.024617412915641346,0.0027733267595217554,343.3693849037167,30.621541715747664,16226,21,26.484506025321707,0.0,0.0,0,0.5630536423026306,4.079175410833976e-05,1.0,0,2908.874999882111,2908.874999882111,2908.874999882111,7.9280806629607214,7.9280806629607214,-0.613923588461796,-0.613923588461796
20897611,3.134811201007548,0.0281321527847961,0.6751716668351064,992518.0241333952,0.7350559119169872,0.0032279794957088,0.7350559119169872,20.795405539860973,8.0032e-05,0.9962519882707362,0.6102005401466877,1,0.0071262913510563575,0.0033505135697298495,0.003652057557569367,0.9174317285997585,0.24129179880781376,-0.3650480827162772,0.008153622267714988,0.0071679742612343516,0.0009856480064806368,0.0013391000226350425,1.000034763684067,0.0037112305220641257,0.036454495298567924,0.006112909025530385,267.4363641625087,111.4316139914675,13905,7,23.611349075831185,0.0,0.0,0,0.510888381948764,0.0005596368318415106,1.0,0,3711.2305220641256,3711.2305220641256,3711.2305220641256,21.528413904079475,21.528413904079475,0.7350559119169872,0.7350559119169872
241196395,2.0937147506336053,0.0260786518971357,0.6258876455312568,998149.1119668108,1.0440569488948745,0.0003250342511538,1.0440569488948745,25.178826724719983,8.0032e-05,0.9990741273633356,0.0992937179693249,1,0.0016861455750081245,0.0011056234107708895,0.0010069460676685566,1.0979965426858977,-0.0899935951901019,-0.4293780433050238,0.0017027194393344214,0.001667411565877112,3.530787345730935e-05,0.00015707730475200687,1.0000090273101085,0.0010260002718601331,0.010175305112948063,0.006856813598386632,972.854532359644,80.28462325673752,17355,13,27.344911496015357,0.0,0.0,0,1.0475590981489458,0.0013298129707463515,0.7852359039129034,0,1026.0002718601331,1026.0002718601331,1026.0002718601331,24.643744473276776,24.643744473276776,1.0440569488948745,1.0440569488948745
248391319,0.7992490385626558,0.023957902197441,0.574989652738584,997946.252975632,-0.3134518439168775,0.0005041408195995,-0.3134518439168775,19.754166636691902,8.0032e-05,0.9989725987111118,0.0533738759889867,0,0.0019418316871752106,0.003800863291967291,0.0037614342441171407,1.0104824235233074,-0.060319520611272825,-0.023059467558248947,0.0021559152593660837,0.0016191801368126701,0.0005367351225534136,0.0,1.0000093000234334,0.003777164161312902,0.02856411806349335,0.0028002489110143126,264.20515072562836,33.360560062390164,16070,32,25.94181363497819,0.0,0.0,0,0.5008504899378458,6.416035290189607e-05,1.0,0,3777.164161312902,3777.164161312902,3777.164161312902,10.95741939954177,10.95741939954177,-0.3134518439168775,-0.3134518439168775
