tic_id,label,period_days,depth_ppm_fit,duration_days_fit,depth_err_ppm,confidence,fit_reliable
229742722,planet,1.050601398416941,550.0362430050478,0.0101518439797193,452.253290577786,0.707221211194992,True
237201858,planet,4.845005227639522,463.80022339159456,0.0561427555408658,162.844835079708,0.677221211194992,True
261136641,planet,1.089595857279439,236.00327119540205,0.0087787349372714,141.14018858403497,0.8038942742347717,True
261136679,planet,6.2675484218389546,180.65771932955155,0.1235944578012925,6.257082577183098,0.7663942742347718,True
261136765,planet,3.2826320102519646,545.3829462130424,0.0392735404949817,125.40420713887433,0.5581547462940216,True
261139167,planet,1.751655314731246,199.08817709608516,0.0715335856086166,45.02918470381062,0.7349131155014038,True
261155555,planet,4.631142161250864,3252.591617228423,0.1461627035809198,111.4192338336676,0.5403183364868165,True
271893367,planet,10.629036176894008,708.3134773859531,1.257563898440902,95.41369305275194,0.5973398530483246,True
350618622,planet,0.7357825257585333,170.1556894572803,0.0133401931388116,180.77036444634624,0.7401154446601867,True
441075486,planet,1.120750621809278,4426.712474763434,0.0534636623244583,1091.3353919340525,0.7608207643032074,True
55525572,planet,7.373367360848677,392.8913452836922,0.7568672514076444,39.44881643590432,0.5762647807598114,True
