tic_id,period_days,duration_days,depth_ppm,snr,bls_power,transit_time,tls_period,tls_duration,tls_depth_ppm,tls_snr,tls_sde,tls_fap,tls_rp_rs,tls_odd_even,tls_transit_time
104195270,3.6873396578950572,0.030019378452780278,997011.1619770203,14.36218122083023,0.0007777571447677523,2883.6794005731044,3.6873396578950572,0.030019378452780278,997011.1619770203,14.36218122083023,28.771869424897577,8.0032e-05,0.9985044626725613,0.8769652173676022,2883.5874953536054
107440797,8.500144396192926,0.03954759669291654,998750.2375104777,5.9272645045088215,5.327086969475468e-05,3103.35523544564,8.500144396192926,0.03954759669291654,998750.2375104777,5.9272645045088215,7.3690118374703575,0.004881953,0.9993749233948577,0.8349091721673851,3103.36027127428
110428269,0.6492102811837979,0.0551562647343549,999508.6000981418,19.5677149963891,8.276611013722112e-05,1683.5589069304565,0.6492102811837979,0.0551562647343549,999508.6000981418,19.5677149963891,13.583909667262136,8.0032e-05,0.9997542698574194,0.8430722384400992,1683.5678078506949
113553629,8.62345290658186,0.05970553215560479,998984.0649770935,7.644307813934949,5.419351080491945e-05,2231.988794117637,8.62345290658186,0.05970553215560479,998984.0649770935,7.644307813934949,8.859648213141694,0.000240096,0.9994919034074731,0.3164670046977268,2231.988594400302
11439959,3.6201755034190763,0.1303020322837032,994016.7108027057,11.475653394786498,0.009460926033609861,3805.7615513219935,3.6201755034190763,0.1303020322837032,994016.7108027057,11.475653394786498,13.500996701558604,8.0032e-05,0.9970038669948607,0.24451040570006383,3805.757827663743
115524421,3.650604003408044,0.016164121309524788,998140.5906525266,5.760790724071396,0.0002692801671207245,2700.5999899478747,3.650604003408044,0.016164121309524788,998140.5906525266,5.760790724071396,3.9919638967618716,1.0,0.9990698627486101,1.5323495094699884,2700.5999647360763
117979850,12.821232408112248,0.03397319549454666,999034.2208891796,7.286043107847959,2.7040456842378684e-05,1438.0330541242295,12.821232408112248,0.03397319549454666,999034.2208891796,7.286043107847959,10.332114895261952,8.0032e-05,0.9995169937970938,,1438.028664537121
120960812,12.730932814351267,0.10279379765702246,999141.6864537095,6.906761153283624,4.4083754652690115e-05,1687.719712538452,12.730932814351267,0.10279379765702246,999141.6864537095,6.906761153283624,8.607340286769151,0.000480192,0.9995707510995455,0.9002013136186976,1687.715962355388
121990418,2.346786623978109,0.09392340503264117,998822.8658868789,8.54053979336847,0.0004874305477175903,3314.8755848177457,2.346786623978109,0.09392340503264117,998822.8658868789,8.54053979336847,12.211791031244003,8.0032e-05,0.9994112596358313,1.710037159950514,3314.8801789600197
130181866,7.112925095274094,0.12143538142450029,999697.3737075372,18.141145722716686,1.349952449421717e-05,1845.3716265825908,7.112925095274094,0.12143538142450029,999697.3737075372,18.141145722716686,12.218723301725102,8.0032e-05,0.999848675404202,0.5748746887534159,1845.3635965227652
