tic_id,period_days,duration_days,duration_hours,depth_ppm,snr,bls_power,tls_snr,tls_sde,tls_fap,tls_rp_rs,tls_odd_even,both_agree,transit_depth_measured,flux_in_scatter,flux_out_scatter,in_out_scatter_ratio,transit_skewness,transit_kurtosis,odd_depth,even_depth,odd_even_diff,secondary_depth,flux_mean,flux_std,flux_range,outlier_frac,depth_over_std,period_over_dur,n_transit_points,n_transits,coverage_days,acf_period,acf_strength,acf_period_match,ls_period,ls_power,ls_fap,ls_period_match,cdpp_1h,cdpp_2h,cdpp_6h,bls_snr_raw,tls_snr_raw,bls_snr_norm,tls_snr_norm,delta_bic,rule_label,rule_confidence,rule_reason,ml_label,ml_confidence,final_label,final_confidence
14091633,5.533104467540492,0.0324929714776273,0.7798313154630552,996198.6177978546,1.6869642571893742,0.000847688619004,1.6869642571893742,23.80440390039368,8.0032e-05,0.998097499144174,0.5992611274629721,1,0.0037769741317852,0.0030316156892676,0.0007803638962512,3.884873858649447,-0.168899559423108,-0.7106027294785373,0.0028817990249861,0.0043930448359924,0.0015112458110062,6.33835396499638e-05,0.9999948334687416,0.0008182455315234,0.0140914953061236,0.0065931501254448,1217.4811320936535,170.2861941796131,17139,4,25.775070916008872,0.0,0.0,0,0.7910662003396275,0.0054826061881105,1.0794464256818114e-15,0,818.2455315234486,818.2455315234486,818.2455315234486,31.125498742708363,31.125498742708363,1.6869642571893742,1.6869642571893742,929.6041638348266,eclipsing_binary,0.9,Depth too large for planet (>50% flux drop),eclipsing_binary,0.5312750510374705,eclipsing_binary,0.5312750510374705
143271144,1.3525054454999688,0.0488524300412474,1.1724583209899375,988463.992404145,-0.6118837124871612,0.0297965135515746,-0.6118837124871612,14.022668093271898,8.0032e-05,0.9942152646203662,0.1441772178515322,1,0.0093011388155437,0.0279359072199128,0.028328089112717,0.986155720216097,-0.0503163098263358,0.009603791901386,0.008845074016452,0.0096038550793296,0.0007587810628776,5.326640842273633e-05,0.999779908868828,0.0283748590840207,0.2142077915341573,0.003086843188366,34.835908294508705,27.685530516894648,14578,16,21.772124516279973,0.0,0.0,0,0.5629540798109121,7.791568308280973e-05,1.0,0,28374.859084020747,28374.859084020747,28374.859084020747,7.948646574464784,7.948646574464784,-0.6118837124871612,-0.6118837124871612,23.988474218237542,eclipsing_binary,0.9,Depth too large for planet (>50% flux drop),eclipsing_binary,0.39192277948061627,eclipsing_binary,0.39192277948061627
144276942,1.5345541378351495,0.0250976200340178,0.6023428808164272,997776.191991386,-0.4523562696273988,0.0005458287971611,-0.4523562696273988,19.584374348810137,8.0032e-05,0.9988874771421384,0.0478538371590643,1,0.001819208047218,0.0037429094642345,0.003341389963627,1.120165378169469,-0.099051275572332,-0.4469276269643689,0.0018832337883417,0.0021883227793137,0.0003050889909719,0.0,0.9999884338337236,0.0033590867288252,0.0253735909708746,0.0032201610080504,297.0379281146278,61.14341238893743,14285,15,23.226788346491503,0.0,0.0,0,0.5140185202556451,0.0002209115722244,1.0,0,3359.086728825245,3359.086728825245,3359.086728825245,9.556993019601338,9.556993019601338,-0.4523562696273988,-0.4523562696273988,52.143607429195484,eclipsing_binary,0.9,Depth too large for planet (>50% flux drop),planet_candidate,0.7161094359556834,planet_candidate,0.7161094359556834
144327080,4.419862508659172,0.0283483795807058,0.6803611099369392,998794.6290952,-0.9459818199065078,0.0001811150037579,-0.9459818199065078,4.806686596730488,1.0,0.9993971328231837,1.823489373557087,0,0.0010193562295147,0.0026011470524307,0.002276652774915,1.1425312488746526,-0.7197327260335296,0.8299490836030339,0.0004817397944991,0.0028115573589138,0.0023298175644146,0.000197655220702,1.0000078874144418,0.0022807356623014,0.0183709921741497,0.0024185517143263,437.9264996868175,155.9123504920239,14058,5,23.79072044750956,0.0,0.0,0,0.5855448682543822,8.816648972962657e-05,1.0,0,2280.7356623014057,2280.7356623014057,2280.7356623014057,4.5802887937466,4.5802887937466,-0.9459818199065078,-0.9459818199065078,-18.21346271339252,noise,0.9,Low SNR + high FAP,eclipsing_binary,0.4395688847700755,eclipsing_binary,0.4395688847700755
151681127,10.16817523352685,0.0580178106038721,1.3924274544929305,999348.0132385392,-0.9360319576849704,3.080360743844812e-05,-0.9360319576849704,12.171022543648048,8.0032e-05,0.9996739534660984,5.939347508495154,1,0.000463008341075,0.001115450375706,0.0006980866531067,1.5978678448514791,-0.2421273530517092,0.0270100140417093,0.0,0.0,0.0,0.0,1.0000109638489745,0.0006994275357798,0.0062690085773319,0.0048708581683009,1428.8083028408248,175.25954720053278,15603,2,24.156039625176845,0.0,0.0,0,0.5384982642538361,0.0002818352686777,1.0,0,699.4275357798227,699.4275357798227,699.4275357798227,4.680602728745708,4.680602728745708,-0.9360319576849704,-0.9360319576849704,-17.284466243171444,eclipsing_binary,0.9,Depth too large for planet (>50% flux drop),planet,0.6512070735295614,planet,0.6512070735295614
153077621,2.9591628259774736,0.0507200455072964,1.2172810921751136,999481.027453066,-0.9488752117168752,3.662724436865182e-05,-0.9488752117168752,4.3894314016132565,1.0,0.9997404800512312,0.9019479611545124,0,0.0002924150415909,0.0015199500562314,0.0015423516536418,0.9854756236004292,-0.1578372211619512,-0.5990266049515713,3.904525004886731e-05,0.0005909128155617,0.0005518675655128,0.0001554004188649,0.9999936037433484,0.0015431023255812,0.0117693993379232,0.0039890670015513,647.7088046028941,58.34306319219436,13537,6,20.2780490838652,0.0,0.0,0,0.5125916584615086,0.0001024149078744,1.0,0,1543.102325581263,1543.102325581263,1543.102325581263,4.551117784989928,4.551117784989928,-0.9488752117168752,-0.9488752117168752,-18.47983505466158,noise,0.9,Low SNR + high FAP,eclipsing_binary,0.37676759918530783,eclipsing_binary,0.37676759918530783
207425203,1.2245964231549198,0.0399913378451156,0.9597921082827744,998818.653808258,-0.613923588461796,0.0003531307964729,-0.613923588461796,14.442852408151738,8.0032e-05,0.9994091523536583,0.5870399326232256,1,0.0011174781154721,0.0028459738753954,0.0029046863504405,0.9797869491090176,0.0185114873001388,0.3595480729595639,0.0011791709562172,0.0010073600341086,0.0001718109221085,0.0,1.0000132291408774,0.0029088749998821,0.0246174129156413,0.0027733267595217,343.3693849037167,30.621541715747664,16226,21,26.484506025321707,0.0,0.0,0,0.5630536423026306,4.079175410833976e-05,1.0,0,2908.874999882111,2908.874999882111,2908.874999882111,7.9280806629607214,7.9280806629607214,-0.613923588461796,-0.613923588461796,23.661954850898503,eclipsing_binary,0.9,Depth too large for planet (>50% flux drop),planet_candidate,0.47057980676492056,planet_candidate,0.47057980676492056
20897611,3.134811201007548,0.0281321527847961,0.6751716668351064,992518.0241333952,0.7350559119169872,0.0032279794957088,0.7350559119169872,20.795405539860973,8.0032e-05,0.9962519882707362,0.6102005401466877,1,0.0071262913510563,0.0033505135697298,0.0036520575575693,0.9174317285997584,0.2412917988078137,-0.3650480827162772,0.0081536222677149,0.0071679742612343,0.0009856480064806,0.001339100022635,1.000034763684067,0.0037112305220641,0.0364544952985679,0.0061129090255303,267.4363641625087,111.4316139914675,13905,7,23.611349075831185,0.0,0.0,0,0.510888381948764,0.0005596368318415,1.0,0,3711.2305220641256,3711.2305220641256,3711.2305220641256,21.528413904079475,21.528413904079475,0.7350559119169872,0.7350559119169872,424.28009707784923,eclipsing_binary,0.82,Secondary eclipse detected,false_positive,0.4748306912183762,false_positive,0.4748306912183762
241196395,2.0937147506336053,0.0260786518971357,0.6258876455312568,998149.1119668108,1.0440569488948743,0.0003250342511538,1.0440569488948743,25.178826724719983,8.0032e-05,0.9990741273633356,0.0992937179693249,1,0.0016861455750081,0.0011056234107708,0.0010069460676685,1.0979965426858975,-0.0899935951901019,-0.4293780433050238,0.0017027194393344,0.0016674115658771,3.530787345730935e-05,0.000157077304752,1.0000090273101083,0.0010260002718601,0.010175305112948,0.0068568135983866,972.854532359644,80.28462325673752,17355,13,27.34491149601536,0.0,0.0,0,1.0475590981489458,0.0013298129707463,0.7852359039129034,0,1026.0002718601331,1026.0002718601331,1026.0002718601331,24.643744473276776,24.643744473276776,1.0440569488948743,1.0440569488948743,568.1216335166464,eclipsing_binary,0.9,Depth too large for planet (>50% flux drop),eclipsing_binary,0.5359359920024872,eclipsing_binary,0.5359359920024872
248391319,0.7992490385626558,0.023957902197441,0.574989652738584,997946.252975632,-0.3134518439168775,0.0005041408195995,-0.3134518439168775,19.754166636691902,8.0032e-05,0.9989725987111118,0.0533738759889867,0,0.0019418316871752,0.0038008632919672,0.0037614342441171,1.0104824235233074,-0.0603195206112728,-0.0230594675582489,0.002155915259366,0.0016191801368126,0.0005367351225534,0.0,1.0000093000234334,0.0037771641613129,0.0285641180634933,0.0028002489110143,264.2051507256284,33.360560062390164,16070,32,25.94181363497819,0.0,0.0,0,0.5008504899378458,6.416035290189607e-05,1.0,0,3777.164161312902,3777.164161312902,3777.164161312902,10.95741939954177,10.95741939954177,-0.3134518439168775,-0.3134518439168775,80.87253174994112,eclipsing_binary,0.9,Depth too large for planet (>50% flux drop),planet_candidate,0.6502633190155029,planet_candidate,0.6502633190155029
