tic_id,inj_period,inj_depth_ppm,rec_period,rec_depth_ppm,rec_snr,expected_snr,recovered,period_match,noise_std
149603524,1.5,500,1.499390478635709,526.9588441539908,14.023748386354844,20.338331523843895,True,True,0.0008788607303864067
149603524,1.5,1000,1.4999691347223274,1016.2332610954561,27.431799381284364,40.67666304768779,True,True,0.0008788607303864067
149603524,1.5,2000,1.4999691347223274,1996.4466791253521,54.46525232279805,81.35332609537558,True,True,0.0008788607303864067
149603524,1.5,5000,1.4999691347223274,4926.029699605428,138.80513067881478,203.38331523843894,True,True,0.0008788607303864067
149603524,1.5,10000,1.4999691347223274,9783.466025123143,281.6448078004359,406.7666304768779,True,True,0.0008788607303864067
149603524,2.0,500,1.999146184582325,549.4744117368056,12.9718797771394,17.28425821899988,True,True,0.0008788607303864067
149603524,2.0,1000,1.999146184582325,1085.4676623756054,26.180915112938614,34.56851643799976,True,True,0.0008788607303864067
149603524,2.0,2000,1.999146184582325,2156.966950799144,52.3489481557695,69.13703287599952,True,True,0.0008788607303864067
149603524,2.0,5000,2.0001749965340796,5369.426560494883,123.49386281503983,172.84258218999884,True,True,0.0008788607303864067
149603524,2.0,10000,2.0001749965340796,10737.235709762039,209.63014858776398,345.6851643799977,True,True,0.0008788607303864067
149603524,3.0,500,3.0009111558079944,565.9891861443666,13.256424476234544,14.381372138530146,True,True,0.0008788607303864067
149603524,3.0,1000,3.0009111558079944,1099.2569360671612,26.08614126839472,28.762744277060293,True,True,0.0008788607303864067
149603524,3.0,2000,3.0009111558079944,2164.9913391763585,50.890334970955905,57.525488554120585,True,True,0.0008788607303864067
149603524,3.0,5000,2.999753093020325,4746.626282179589,137.86509460766214,143.81372138530148,True,True,0.0008788607303864067
149603524,3.0,10000,2.999753093020325,9463.191303101026,281.1964289487172,287.62744277060295,True,True,0.0008788607303864067
149603524,5.0,500,5.001106831385389,530.5582272175924,14.967451409786989,10.719241903824976,True,True,0.0008788607303864067
149603524,5.0,1000,5.001106831385389,1023.3152921766964,29.53746466425515,21.438483807649952,True,True,0.0008788607303864067
149603524,5.0,2000,5.001106831385389,2008.2430839689637,59.87672887691881,42.876967615299904,True,True,0.0008788607303864067
