tic_id,period_days,duration_days,depth_ppm,snr,bls_power,transit_time,tls_period,tls_duration,tls_depth_ppm,tls_snr,tls_sde,tls_fap,tls_rp_rs,tls_odd_even,tls_transit_time,bls_tls_period_agree_pct,both_agree
14091633,5.5331044675404915,0.03249297147762735,996198.6177978546,31.125498742708363,0.0008476886190040769,1440.9584813607714,5.5331044675404915,0.03249297147762735,996198.6177978546,31.125498742708363,23.80440390039368,8.0032e-05,0.9980974991441741,0.5992611274629721,1440.9584813607714,0.07103239395027505,True
143271144,1.3525054454999688,0.048852430041247466,988463.992404145,7.948646574464784,0.029796513551574606,1469.177920432006,1.3525054454999688,0.048852430041247466,988463.992404145,7.948646574464784,14.022668093271898,8.0032e-05,0.9942152646203662,0.1441772178515322,1469.177920432006,0.07534665849385462,True
144276942,1.5345541378351495,0.025097620034017824,997776.191991386,9.556993019601338,0.0005458287971611077,2062.2397716877354,1.5345541378351495,0.025097620034017824,997776.191991386,9.556993019601338,19.584374348810137,8.0032e-05,0.9988874771421383,0.04785383715906439,2062.2397716877354,0.009556040189549489,True
144327080,4.419862508659172,0.028348379580705803,998794.6290952001,4.5802887937465995,0.0001811150037579737,3156.2903644703147,4.419862508659172,0.028348379580705803,998794.6290952001,4.5802887937465995,4.806686596730488,1.0,0.9993971328231837,1.823489373557087,3156.2903644703147,52.88196032087129,False
151681127,10.16817523352685,0.05801781060387213,999348.0132385391,4.680602728745708,3.0803607438448116e-05,1552.8541323184165,10.16817523352685,0.05801781060387213,999348.0132385391,4.680602728745708,12.171022543648048,8.0032e-05,0.9996739534660984,5.939347508495154,1552.8541323184165,0.2650086469616966,True
153077621,2.9591628259774736,0.050720045507296425,999481.0274530661,4.551117784989928,3.662724436865182e-05,1387.9979798649936,2.9591628259774736,0.050720045507296425,999481.0274530661,4.551117784989928,4.3894314016132565,1.0,0.9997404800512312,0.9019479611545123,1387.9979798649936,158.350968396163,False
207425203,1.2245964231549198,0.03999133784511562,998818.653808258,7.9280806629607214,0.0003531307964729437,1956.9088773409146,1.2245964231549198,0.03999133784511562,998818.653808258,7.9280806629607214,14.442852408151738,8.0032e-05,0.9994091523536583,0.5870399326232256,1956.9088773409146,0.0934392523642415,True
20897611,3.134811201007548,0.028132152784796107,992518.0241333953,21.528413904079475,0.0032279794957088604,2089.7784635994926,3.134811201007548,0.028132152784796107,992518.0241333953,21.528413904079475,20.795405539860973,8.0032e-05,0.9962519882707362,0.6102005401466877,2089.7784635994926,0.0030882657627600914,True
241196395,2.0937147506336053,0.026078651897135756,998149.1119668107,24.643744473276776,0.0003250342511538479,1871.7094923794625,2.0937147506336053,0.026078651897135756,998149.1119668107,24.643744473276776,25.178826724719986,8.0032e-05,0.9990741273633357,0.09929371796932498,1871.7094923794625,0.007454050837377116,True
248391319,0.7992490385626558,0.023957902197441025,997946.252975632,10.95741939954177,0.0005041408195995344,2116.578496518409,0.7992490385626558,0.023957902197441025,997946.252975632,10.95741939954177,19.754166636691902,8.0032e-05,0.9989725987111118,0.053373875988986706,2116.578496518409,49.989140758734266,False
