tic_id,period_days,duration_days,duration_hours,depth_ppm,snr,bls_power,tls_snr,tls_sde,tls_fap,tls_rp_rs,tls_odd_even,both_agree,transit_depth_measured,flux_in_scatter,flux_out_scatter,in_out_scatter_ratio,transit_skewness,transit_kurtosis,odd_depth,even_depth,odd_even_diff,secondary_depth,flux_mean,flux_std,flux_range,outlier_frac,depth_over_std,period_over_dur,n_transit_points,n_transits,coverage_days,acf_period,acf_strength,acf_period_match,ls_period,ls_power,ls_fap,ls_period_match,cdpp_1h,cdpp_2h,cdpp_6h,label,bls_snr_raw,tls_snr_raw
18574158,4.908218472722743,0.0524329230859967,1.2583901540639209,996481.2038117532,1.6175847094406646,0.000690056170355,1.6175847094406646,13.204693258648277,8.0032e-05,0.998239051435954,0.079228181250931,0,0.003043061871731201,0.0024794273067143924,0.001899766144091888,1.3051223088236257,0.7449370984656547,0.7547596009252562,0.003009404391254041,0.0031148776735225128,0.00010547328226847164,0.00014127271003383512,0.9999653863058393,0.001931142581545361,0.025772980347318675,0.01596921596921597,516.0059965192927,93.60947615511898,10395,5,26.44411626932606,0.0,0.0,0,0.6173604092369857,0.004417922904295067,1.3160387055562796e-05,0,1931.142581545361,1931.142581545361,1931.142581545361,false_positive,18.240422640759824,18.240422640759824
73723286,10.44891431327505,0.1110117552422058,2.664282125812939,999553.1226343124,-0.23114782624093502,3.163806139047869e-05,-0.23114782624093502,6.458282626254763,0.023609444,0.9997765363491544,1.887974571263236,0,0.00016029281852547594,0.0008933096437740578,0.0007213635811276891,1.2383623782910307,-1.1951605445377154,3.9618549110628685,0.0002808920769410417,0.00012985959973049743,0.00015103247721054425,5.847121853386206e-05,1.000009704275017,0.0007243684876520614,0.008674013779092826,0.005925076452599388,1379.8957321910145,94.12439503424784,15696,2,24.155719023899792,0.0,0.0,0,0.6216387056202768,0.000520890903087107,1.0,0,724.3684876520614,724.3684876520614,724.3684876520614,eclipsing_binary,7.3599473878823956,7.3599473878823956
139158696,2.752701363603789,0.0106015609974285,0.25443746393828404,989817.2621019452,-0.8250469712841407,0.0131175701705683,-0.8250469712841407,4.1491535086751865,1.0,0.9948956036197693,0.5832915807902891,0,0.004982798885278528,0.031799589290557664,0.03074377257147934,1.0343424546609985,-0.3630340351692066,0.6755018549454888,0.003635068690219956,0.009270582930769248,0.005635514240549292,0.0,0.9999306815133278,0.030750593497806695,0.2450115253169468,0.0030969845150774244,32.1885578876287,259.65056828012627,18405,9,26.623725768291933,0.0,0.0,0,0.5683004131754875,4.7789060561161384e-05,1.0,0,30750.593497806694,30750.593497806694,30750.593497806694,planet,3.864631096515643,3.864631096515643
366568760,1.7739455277254732,0.0104181170131198,0.2500348083148752,999283.847672056,-0.6567997933618788,9.982806347658629e-05,-0.6567997933618788,4.20329990303028,1.0,0.999641859703792,0.2056957746110363,0,0.00026292556173479475,0.0024765287377521076,0.002499585067296333,0.9907758975985747,-0.024989417664395372,-0.9214194833572678,0.00047546031877960805,0.0005641448404956062,8.868452171599815e-05,0.00012223201370042958,0.9999822921775726,0.0024996618832300523,0.018493062023112072,0.00281483294578387,399.7675903286675,170.27506107523965,16342,13,24.4544953169127,0.0,0.0,0,0.56763840265218,5.7761825327609327e-05,1.0,0,2499.6618832300524,2499.6618832300524,2499.6618832300524,planet,4.854828012736798,4.854828012736798
276128561,3.289301749288572,0.0740212772069257,1.7765106529662167,998823.1607602465,0.6081795184127355,0.0002229943119031,0.6081795184127355,16.29202519303844,8.0032e-05,0.9994114071593572,0.8475922380381529,0,0.0010800644611614896,0.00157428165825204,0.0015556017923020618,1.0120080632727535,0.18130966402947754,0.6392127542618158,0.0007661780096795967,0.0011372357229271768,0.0003710577132475801,5.0740879508515135e-05,1.000017434660927,0.0015650974435324995,0.011941029518893753,0.004080145719489982,638.1858848911456,44.437246545336414,13725,7,23.99885692285943,0.0,0.0,0,0.547343448513959,0.00010065213680151727,1.0,0,1565.0974435324995,1565.0974435324995,1565.0974435324995,planet_candidate,12.29969947549341,12.29969947549341
322202434,0.6844377694310383,0.0207672217011404,0.49841332082736967,999734.5148643546,-0.8196981425620802,1.933583487300422e-05,-0.8196981425620802,5.855680997792351,0.07194878,0.999867248620713,0.0652719356029138,0,0.00016934114340960704,0.0012181909355501004,0.0012250587875731408,0.9943937780520526,-0.13246438310474173,-0.012801095520964978,0.00023602765616706093,0.00022984876600846865,6.178890158592285e-06,6.630902686499685e-05,1.000023586152031,0.0012255727474193847,0.009781960467589279,0.00358265701542736,815.7283485591539,32.95759904646722,13677,33,23.04482627214429,0.0,0.0,0,0.6166222738987562,9.609767434138419e-05,1.0,1,1225.5727474193848,1225.5727474193848,1225.5727474193848,eclipsing_binary,3.8961109333330346,3.8961109333330346
212957629,3.07457836777233,0.0359282266241968,0.8622774389807232,983349.0375050696,0.35125814699256475,0.0290582367581427,0.35125814699256475,18.463888648291967,8.0032e-05,0.9916395703606576,0.2642541729894896,0,0.014264318272789733,0.02116804089545431,0.02041949108533208,1.0366585877840058,0.4386536741966911,0.029857250967878723,0.014237029125073825,0.016410766573515784,0.002173737448441959,0.0,0.999986950353808,0.02047352540387036,0.15498795859664494,0.0033720494567253652,48.03027389294409,85.5755668481594,16014,8,26.019085939067736,0.0,0.0,0,0.5101634694705697,0.00010378116766120218,1.0,0,20473.52540387036,20473.52540387036,20473.52540387036,planet,10.787622109125286,10.787622109125286
375225453,0.920477515918045,0.060693505838304,1.456644140119296,999792.4282859951,-0.5042861810445851,1.628545849656608e-05,-0.5042861810445851,8.886632911963847,0.000240096,0.9998962087566864,0.0503636126894585,0,-5.317035130203429e-05,0.0011197670082196873,0.001120412881107735,0.9994234510855015,0.03889227830351752,0.21243599712896621,-6.740080176567687e-05,-7.901082558187111e-05,1.1610023816194248e-05,7.41569323166047e-05,1.0000035584105247,0.001120440714784698,0.00944258119965058,0.00388903292714545,892.320607294294,15.165996784791545,15428,25,23.84211051285638,0.0,0.0,0,0.50052706591681,0.00015629665890417197,1.0,0,1120.440714784698,1120.440714784698,1120.440714784698,false_positive,5.752427071831332,5.752427071831332
110428269,0.6492102811837979,0.0551562647343549,1.3237503536245177,999508.6000981418,1.8431087334546326,8.276611013722112e-05,1.8431087334546326,13.583909667262136,8.0032e-05,0.9997542698574194,0.8430722384400992,0,0.000509521430709925,0.0007600369843889835,0.0007449859164125049,1.020203020788171,0.26909503580010324,0.2107438162581703,0.00047970677550362995,0.0004968749897572103,1.7168214253580395e-05,0.0001634549055715695,1.0000055738940712,0.0007589442975164332,0.005924841764395783,0.003570774583409632,1316.9721041079295,11.770381535687811,10922,33,21.48173023979757,0.0,0.0,0,0.6499287110986012,0.0022696772765152967,0.37519908417243547,1,758.9442975164332,758.9442975164332,758.9442975164332,false_positive,19.5677149963891,19.5677149963891
389371332,2.003674797644776,0.0312764190383089,0.7506340569194135,998633.533532774,-0.6668287734733337,0.0002558770321319,-0.6668287734733337,6.210503703495828,0.038895558,0.9993165332029555,1.003711547254615,0,0.00010165115455573748,0.004192065687688886,0.00407419886785914,1.0289300352681798,-0.3146135487328751,-0.28809474088235065,-0.0002637172240299801,-7.399109512055506e-05,0.00018972612890942505,0.0013967055847529108,1.0000047923500102,0.004076213500020814,0.031921383475494114,0.0025956368580433843,244.99048173718737,64.06343350190548,16181,12,24.381875418723894,0.0,0.0,0,0.5713315349463794,2.8512701600582665e-05,1.0,0,4076.213500020814,4076.213500020814,4076.213500020814,false_positive,4.795803752705558,4.795803752705558
